id;název;porce;kj;bílkoviny;sacharidy;tuky;provozovny;vláknina;cukr;vápník;sůl;nasycené mastné kyseliny;trans mastné kyseliny;mono nasycené;poly nasycené;cholesterol;sodík;URL obrázku;id kategorie
1;Zapečené tousty                  (1 ks);100.0;954.85;11.39;30.005;7.215;ReFresh Bistro;;5.45;;1.655;4.245;;;;;;;1025
2;Sýrové tousty                   (1 ks);102.0;1394.588235;14.10196078;27.08627451;19.18823529;ReFresh Bistro;;3.662745098;;1.570588235;8.641176471;;;;;;;1025
3;Pizzové tousty             (1 ks);108.0;1101.759259;11.89185185;25.65;12.92685185;ReFresh Bistro;;2.681111111;;1.474259259;5.746481481;;;;;;;1025
4;Sweet Chilli tousty             (1 ks);100.0;1203.9;12.46;29.04;13.89;ReFresh Bistro;;4.24;;1.685;6.19;;;;;;;1025
5;Premium tousty                          (1 ks);102.0;1223.686275;11.95196078;32.97352941;12.75784314;ReFresh Bistro;;7.970588235;;1.48627451;5.815686275;;;;;;;1025
6;Pikantní tousty             (1 ks);105.0;1311.857143;11.65238095;25.11428571;18.98095238;ReFresh Bistro;;2.028571429;;1.757142857;5.938095238;;;;;;;1025
7;Tuňákové tousty (B.Motyčková)            (1 ks);100.0;980.4761905;8.523809524;26.7047619;10.65714286;ReFresh Bistro;;3.161904762;;1.228571429;2.971428571;;;;;;;1025
8;Classic Tortilla;106.0;1198.066038;10.55188679;24.04103774;16.41509434;ReFresh Bistro;;3.266981132;;2.024056604;5.758490566;;;;;;;1025
9;Tortilla se sýrem;107.0;1332.317757;12.73457944;23.04813084;19.52336449;ReFresh Bistro;;2.677570093;;1.968691589;9.06635514;;;;;;;1025
10;Pizza Tortilla;113.0;1002.938053;10.37699115;21.52345133;12.33097345;ReFresh Bistro;;1.692920354;;1.882743363;5.907079646;;;;;;;1025
11;Kukurýto classic;157.0;1115.643312;12.26305732;16.94363057;16.56496815;ReFresh Bistro;;1.852866242;;1.794904459;7.978980892;;;;;;;1025
12;Kukurýto cheese;165.0;1136.606061;14.49515152;15.58393939;16.75090909;ReFresh Bistro;;1.69030303;;1.698181818;10.65151515;;;;;;;1025
13;Texas Tortilla;105.0;1188.285714;11.24952381;26.87;14.49333333;ReFresh Bistro;;4.951428571;;1.947142857;6.74;;;;;;;1109
14;Tortilla s kuřecím;125.0;1231.16;10.2616;21.2228;18.7664;ReFresh Bistro;;2.7952;;2.0076;6.0176;;;;;;;1025
15;Domácí sendvič;108.0;1128.092593;10.84444444;26.47222222;13.69611111;ReFresh Bistro;;4.142592593;;1.554166667;4.442962963;;;;;;;1025
16;Wrap sýrový;108.0;1340.342593;12.63240741;22.99583333;19.81111111;ReFresh Bistro;;2.799074074;;1.969907407;9.016666667;;;;;;;1025
17;Wrap šunka sýr;106.0;1198.066038;10.55188679;24.04103774;16.41509434;ReFresh Bistro;;3.266981132;;2.024056604;5.758490566;;;;;;;1025
18;Obložená houska s gervais;136.0;998.3088235;10.66029412;22.61764706;11.11470588;ReFresh Bistro;;1.692647059;;1.313970588;6.444117647;;;;;;;1025
19;Domácí fit sendvič;111.0;806.9852941;10.47567568;20.69369369;11.82972973;ReFresh Bistro;;2.228828829;;1.392792793;6.679279279;;;;;;;1025
20;Obložená houska;107.0;1225.766355;10.50934579;23.85046729;16.93551402;ReFresh Bistro;;0.9018691589;;1.330373832;8.36728972;;;;;;;1025
21;Jogurt čoko;290.0;662.8448276;4.40862069;18.13793103;4.965517241;ReFresh Bistro;;10.02758621;;0.1044827586;2.298275862;;;;;;;1050
22;Jogurt jahoda;290.0;655.862069;4.14137931;18.39655172;4.827586207;ReFresh Bistro;;10.02758621;;0.1018965517;2.203448276;;;;;;;1050
23;Jogurt Mango + Marakuja;290.0;658.7931034;4.14137931;18.56896552;4.827586207;ReFresh Bistro;;10.2;;0.1044827586;2.203448276;;;;;;;1050
24;Jogurt Cini Minis;267.0;589.9138577;3.812359551;15.68764045;4.285018727;ReFresh Bistro;;10.10486891;;0.1898876404;3.020224719;;;;;;;1050
25;Jogurt Cookie Crisp;267.0;575.494382;3.849812734;15.50037453;3.882397004;ReFresh Bistro;;9.917602996;;0.1758426966;2.673782772;;;;;;;1050
26;Jogurt Nesquik;267.0;560.1685393;4.039325843;15.61573034;3.264419476;ReFresh Bistro;;9.703370787;;0.1198127341;2.41835206;;;;;;;1050
27;Jogurt Malinový;290.0;639.5689655;4.14137931;17.36206897;4.827586207;ReFresh Bistro;;9.079310345;;0.1018965517;2.203448276;;;;;;;1050
28;Jogurt Kiwi Jablko;290.0;657.9310345;4.14137931;18.48275862;4.827586207;ReFresh Bistro;;10.1137931;;0.1018965517;2.203448276;;;;;;;1050
29;Jogurt karamel;280.0;556.8035714;4.223214286;16.78571429;4.994642857;ReFresh Bistro;;9.921428571;;0.1191071429;2.621428571;;;;;;;1050
30;Jogurt kit kat;290.0;717.0344828;3.95862069;18.29310345;6.579310345;ReFresh Bistro;;14.49655172;;0.1137931034;4.362068966;;;;;;;1050
31;Jogurt lentilky;290.0;701.6724138;4.051724138;19.19310345;5.710344828;ReFresh Bistro;;16.93275862;;0.1122413793;3.912068966;;;;;;;1050
32;Jogurt lotus;290.0;723.3275862;3.8;20.11034483;6.112068966;ReFresh Bistro;;13.31896552;;0.2493103448;3.703448276;;;;;;;1050
33;Jogurt studentská pečeť;290.0;691.8965517;3.818965517;17.85862069;6.005172414;ReFresh Bistro;;15.84655172;;0.1029310345;3.601724138;;;;;;;1112
34;Párky na tácku       (2 ks);270.0;908.8518519;10.74074074;13.21481481;13.9037037;ReFresh Bistro;;2.103703704;;2.112962963;4.511111111;;;;;;;1123
35;Hot Dog;180.0;914.5;9.581111111;21.38666667;10.60333333;ReFresh Bistro;;2.477777778;;2.030555556;3.45;;;;;;;1025
36;Texas Burger;160.0;1140.5;10.80625;23.69375;14.49375;ReFresh Bistro;;7.98125;;1.54375;5.0875;;;;;;;1025
37;Hamburger se sýrem;160.0;1081.5625;10.95625;19.45625;14.80625;ReFresh Bistro;;4.59375;;1.715625;5.10625;;;;;;;1025
38;Sweet Chilli Burger;150.0;1128.333333;11.36666667;20.46;15.44;ReFresh Bistro;;4.526666667;;1.683333333;5.426666667;;;;;;;1025
39;Sekaná v toustu;80.0;910.875;7.3625;36.2625;5.0125;ReFresh Bistro;;5.85;;1.60625;1.3125;;;;;;;1026
40;Sekaná v housce;75.0;1076.0;7.733333333;37.8;7.673333333;ReFresh Bistro;;4.44;;1.746666667;2.76;;;;;;;1025
41;Jahody se zakysanou;261.0;263.3333333;3.24137931;5.091570881;3.26091954;ReFresh Bistro;;3.86743295;;0.1011494253;2.278927203;;;;;;;1055
42;Ovocná miska;180.0;248.0;0.51;12.79;0.3433333333;ReFresh Bistro;;10.09;;0.0;0.09333333333;;;;;;;1113
43;Chia puding s broskví;360.0;328.8888889;3.980555556;5.889444444;3.977777778;ReFresh Bistro;;4.708333333;;0.1025;1.626111111;;;;;;;1011
44;Crepes jahoda - banán - skořice;91.0;720.2197802;4.303296703;46.0532967;2.579120879;ReFresh Bistro;;19.97472527;;1.053296703;1.159340659;;;;;;;1113
45;Crepes nutella - banán;95.0;1100.631579;5.621052632;42.16315789;7.747368421;ReFresh Bistro;;15.82105263;;1.338421053;2.978947368;;;;;;;1113
46;Dezert s mléčnou rýží;146.0;575.0684932;4.273287671;18.55136986;4.947260274;ReFresh Bistro;;10.36849315;;0.2405821918;2.150684932;;;;;;;1055
47;Mrkev s hummuem;140.0;414.7142857;2.114285714;6.514285714;9.371428571;ReFresh Bistro;;0.08571428571;;0.3;0.5714285714;;;;;;;1006
48;Dezert s tvarohem;143.0;668.9440559;8.674125874;14.27272727;7.490909091;ReFresh Bistro;;10.36363636;;0.07825174825;4.709090909;;;;;;;1055
49;Kukuřice s máslem;110.0;1001.363636;2.795454545;10.15909091;20.36363636;ReFresh Bistro;;4.886363636;;0.3863636364;12.95454545;;;;;;;1141
50;ARAŠÍDOVÁ SALSA 100 g;100.0;1131.948460774578;11.663108242303872;12.108291956305859;19.48987090367428;;0.8386792452830188;8.554121151936444;;2.6427209533267133;3.6593545183714;;;;;;;1134
51;MANGO 60 g;60.0;167.50000000000003;0.4;8.8;0.3;;;7.5;;;0.1;;;;;;;1098
52;MAJONÉZA WASABI 20 ml;20.0;315.40000000000003;0.4;2.0;7.4;;0.1;1.6;;0.5;0.9;;;;;;;1134
53;GRILOVANÉ KUŘE 80 g;80.0;617.8;23.0;0.5;5.9;;;;;0.07;1.6;;;;;;;1026
54;ZAUZENÉ KUŘE 60 g;60.0;275.8;14.0;0.7;0.7;;;0.6;;1.3;0.3;;;;;;;1122
55;HOVĚZÍ LÍČKA 80 g;80.0;675.8;19.0;1.6;8.8;;;;;1.2;2.0;;;;;;;1042
56;ZAUZENÝ LOSOS 40 g;40.0;313.6;8.0;;4.8;;;;;1.0;0.7;;;;;;;1045
57;KRŮTA 60 g;60.0;240.7;12.0;0.2;0.9;;;;;0.78;0.2;;;;;;;1041
58;ARAŠÍDOVÝ DIP 20 g;20.0;202.09999999999997;2.1;1.3;3.9;;;0.4;;;0.6;;;;;;;1130
